Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
LIBERTADOR GENERAL BERNARDO OHIGGINS,295,PALMILLA,NAVIDAD,1,1,2,909,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,326,PATAGUILLA,NAVIDAD,1,1,2,616,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,352,LA AGUADA,NAVIDAD,1,1,3,258,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,353,LA PALMILLA,PICHILEMU,1,1,1,142,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,381,PUPUYA,NAVIDAD,1,1,3,1738,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,409,SAN ANTONIO DE PETREL,PICHILEMU,1,1,1,88,True
LOS LAGOS,16,DUATAO,ANCUD,1,1,1,75,True
LOS LAGOS,30,15R,HUALAIHUE,1,1,1,77,True
LOS LAGOS,56,APIAO,QUINCHAO,1,1,1,525,True
LOS LAGOS,57,EL TRANQUILO,PALENA,1,1,1,72,True
LOS LAGOS,58,HUITRAPULLI,SAN JUAN DE LA COSTA,1,1,1,659,True
LOS LAGOS,60,2,COCHAMO,1,1,1,174,True
LOS LAGOS,62,COGOMO,ANCUD,1,1,1,133,True
LOS LAGOS,67,CHAULINEC,QUINCHAO,1,1,1,449,True
LOS LAGOS,81,14R,HUALAIHUE,1,1,1,65,True
LOS LAGOS,93,PUCOMO,SAN JUAN DE LA COSTA,1,1,1,864,True
LOS RIOS,114,TRES CHIFLONES,CORRAL,1,1,1,134,True
LOS RIOS,164,LUMACO NAGUILAN LAS POZAS FUTA,CORRAL,1,1,1,141,True
LOS RIOS,198,MAIHUE,FUTRONO,1,1,1,582,True
LOS RIOS,259,05R,MAFIL,1,1,1,316,True
LOS RIOS,285,SAN JUAN CATRILEFU,CORRAL,1,1,2,246,True
LOS RIOS,312,2R,LANCO,1,1,1,186,True
LOS RIOS,386,10R,LANCO,1,1,1,99,True
LOS RIOS,393,9R,MARIQUINA,1,1,1,97,True
LOS RIOS,406,04R,MAFIL,1,1,2,418,True
LOS RIOS,447,005,PANGUIPULLI,1,1,1,5819,True
MAGALLANES Y DE LA ANTARTICA CHILENA,204,ZONA RURAL,CABO DE HORNOS,1,1,2,141,True
MAGALLANES Y DE LA ANTARTICA CHILENA,359,LAGUNA BLANCA,LAGUNA BLANCA,1,1,2,65,True
MAGALLANES Y DE LA ANTARTICA CHILENA,728,SAN GREGORIO,SAN GREGORIO,1,1,2,145,True
MAGALLANES Y DE LA ANTARTICA CHILENA,977,DUMESTRE,NATALES,1,1,1,59,True
MAGALLANES Y DE LA ANTARTICA CHILENA,996,SIN DEF COMUNAL,NATALES,1,1,1,2365,False
MAGALLANES Y DE LA ANTARTICA CHILENA,998,0R,TIMAUKEL,1,1,4,178,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1006,1,RIO VERDE,1,1,4,168,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1008,6,PORVENIR,1,1,1,74,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1013,0R,PORVENIR,1,1,1,1179,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1037,PUERTO PRAT,NATALES,1,1,1,9,True
MAULE,15,4,PELLUHUE,1,1,1,217,True
MAULE,68,LOS CANELOS,LONGAVI,1,1,1,98,True
MAULE,80,5,PELLUHUE,1,1,2,433,True
MAULE,127,VEGA DEL MOLINO,LONGAVI,1,1,1,215,True
MAULE,135,SIN DEF COMUNAL,SAN CLEMENTE,1,1,1,106,False
MAULE,143,SIN DEF COMUNAL,LINARES,1,1,1,47,False
