Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
LA ARAUCANIA,181,EL MIRADOR,TRAIGUEN,1,1,1,1135,True
LOS LAGOS,182,AUCACO,ANCUD,1,1,1,128,True
ARICA Y PARINACOTA,183,COLPITAS,GENERAL LAGOS,1,1,3,11,True
LA ARAUCANIA,184,UNIDAD VECINAL 3,SAAVEDRA,1,1,2,1445,True
LA ARAUCANIA,185,MANIO,CARAHUE,1,1,2,888,True
LA ARAUCANIA,186,MITRAUQUEN PEHUENCO,LONQUIMAY,1,1,2,859,True
LA ARAUCANIA,187,PUYANGUE,CARAHUE,1,1,2,1139,True
ARICA Y PARINACOTA,188,SURIRE Y LIVILCAR,ARICA,1,1,1,279,True
COQUIMBO,189,6,LOS VILOS,1,1,1,810,True
LA ARAUCANIA,190,UNIDAD VECINAL RURAL 2,PITRUFQUEN,1,1,1,458,True
BIOBIO,191,009,ALTO BIOBIO,1,1,1,1968,True
BIOBIO,192,17R,CANETE,1,1,1,31,True
LA ARAUCANIA,193,UNIDAD VECINAL 9,SAAVEDRA,1,1,3,1013,True
BIOBIO,194,CALLE TUCAPEL,YUMBEL,1,1,1,92,True
TARAPACA,195,001,COLCHANE,1,1,1,526,True
MAULE,196,11,RETIRO,1,1,1,440,True
BIOBIO,197,EL ROBLE,HUALQUI,1,1,1,154,True
LOS RIOS,198,MAIHUE,FUTRONO,1,1,1,582,True
LA ARAUCANIA,199,COPIHUELPE,LONCOCHE,1,1,1,834,True
LOS LAGOS,200,1R,QUEILEN,1,1,1,26,True
MAULE,201,LOMA DE VASQUEZ,LONGAVI,1,1,1,152,True
LA ARAUCANIA,202,PICHI - CHELLE,TEODORO SCHMIDT,1,1,2,3248,True
ÑUBLE,203,24AR,COIHUECO,1,1,1,1070,True
MAGALLANES Y DE LA ANTARTICA CHILENA,204,ZONA RURAL,CABO DE HORNOS,1,1,2,141,True
BIOBIO,205,23R,CANETE,1,1,1,489,True
ÑUBLE,206,LA ORILLA,COBQUECURA,1,1,2,8,True
LA ARAUCANIA,207,IPINCO,PUREN,1,1,2,897,True
BIOBIO,208,005,SAN ROSENDO,1,1,1,59,True
LA ARAUCANIA,209,CONTRACO,LONQUIMAY,1,1,2,184,True
LA ARAUCANIA,210,NILCAHUIL,LONCOCHE,1,1,1,397,True
LA ARAUCANIA,211,QUECHEREGUAS,TRAIGUEN,1,1,2,693,True
ÑUBLE,212,06R,PORTEZUELO,1,1,2,432,True
BIOBIO,213,LA PALMA,HUALQUI,1,1,1,224,True
LA ARAUCANIA,214,SANTA ELENA,ANGOL,1,1,1,268,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,215,PUERTO GAVIOTA,CISNES,1,1,1,207,True
LOS LAGOS,216,PEUCHEN LOS CANONES,FRESIA,1,1,1,209,True
BIOBIO,217,ABANICO,ANTUCO,1,1,2,246,True
LA ARAUCANIA,218,UNIDAD VECINAL 5,SAAVEDRA,1,1,3,190,True
LA ARAUCANIA,219,CHEQUENCO,ERCILLA,1,1,1,2395,True
BIOBIO,220,SIN DEF COMUNAL,SAN ROSENDO,1,1,2,9,False
LA ARAUCANIA,221,UNIDAD VECINAL RURAL 5,PITRUFQUEN,1,1,1,699,True
LA ARAUCANIA,222,RENICO,LUMACO,1,1,3,934,True
ÑUBLE,223,PULLAY,COBQUECURA,1,1,2,204,True
LA ARAUCANIA,224,SAN ANDRES,COLLIPULLI,1,1,1,427,True
ÑUBLE,225,23AR,COIHUECO,1,1,1,505,True
BIOBIO,226,19R,TIRUA,1,1,1,650,True
LOS LAGOS,227,SAN FLORENTINO,RIO NEGRO,1,1,1,182,True
LA ARAUCANIA,228,LOS ALAMOS,ANGOL,1,1,1,144,True
BIOBIO,229,LOS GUINDOS,NACIMIENTO,1,1,1,67,True
LA ARAUCANIA,230,MINAS DE HUIMPIL,GALVARINO,1,1,1,1646,True
LA ARAUCANIA,231,HUITRANLEBU,PUREN,1,1,2,461,True
