Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
MAULE,945,005,RAUCO,1,1,1,263,True
LA ARAUCANIA,946,EL CARMEN,PERQUENCO,1,2,3,132,True
BIOBIO,947,03R,TUCAPEL,1,1,2,49,True
LA ARAUCANIA,948,UNIDAD VECINAL RURAL 7,PITRUFQUEN,1,2,3,2166,True
ÑUBLE,949,006,RANQUIL,1,2,2,681,True
LOS LAGOS,950,CAUCAU,FRESIA,1,2,2,324,True
METROPOLITANA DE SANTIAGO,951,040,MELIPILLA,1,1,1,3137,True
BIOBIO,952,018R,PENCO,1,1,1,763,True
BIOBIO,953,SAN MIGUEL DE QUILACOYA,HUALQUI,1,1,2,104,True
LA ARAUCANIA,954,LLAIMA,VILCUN,1,2,2,498,True
LA ARAUCANIA,955,UNIDAD VECINAL 8,TRAIGUEN,1,2,3,1337,True
MAULE,956,HUIMEO,LONGAVI,1,1,2,469,True
VALPARAISO,957,LOS PATOS,PUTAENDO,1,1,1,109,True
LOS LAGOS,958,CUCAO RAHUE LA MONTANA,CHONCHI,1,2,1,364,True
LOS LAGOS,959,5R,HUALAIHUE,1,2,3,64,True
COQUIMBO,960,EL ROMERAL,LA SERENA,1,1,1,25,True
BIOBIO,961,4,LEBU,1,1,1,849,True
BIOBIO,962,1,LEBU,1,1,1,2887,True
LOS LAGOS,963,17,QUELLON,1,2,2,481,True
MAULE,964,LLANO DE LAS PIEDRAS,LONGAVI,1,1,2,953,True
MAULE,965,ALTO LLOLLINCO,LONGAVI,1,1,2,485,True
BIOBIO,966,04R,SANTA JUANA,1,1,3,1027,True
ÑUBLE,967,SANTA JUANA,QUIRIHUE,1,2,3,72,True
LA ARAUCANIA,968,UNIDAD VECINAL 8,SAAVEDRA,1,2,4,518,True
LA ARAUCANIA,969,LIBERTAD,CARAHUE,1,2,4,2983,True
LA ARAUCANIA,970,CURILEO,VILCUN,1,2,2,3124,True
VALPARAISO,971,32,CALERA,1,1,1,1499,True
MAULE,972,11R,HUALANE,1,1,1,351,True
BIOBIO,973,DICAHUE,LOS ANGELES,1,1,1,1838,True
LOS LAGOS,974,13,QUELLON,1,2,2,174,True
ÑUBLE,975,26AR,COIHUECO,1,2,2,1140,True
BIOBIO,976,MILLAPOA,NACIMIENTO,1,1,2,295,True
MAGALLANES Y DE LA ANTARTICA CHILENA,977,DUMESTRE,NATALES,1,1,1,59,True
LOS LAGOS,978,PUYAN,CASTRO,1,2,1,378,True
LA ARAUCANIA,979,CHOMIO,PADRE LAS CASAS,1,2,2,3044,True
ÑUBLE,980,020R,SAN CARLOS,1,2,2,1854,True
BIOBIO,981,CARRIZAL MENIR,NACIMIENTO,1,1,2,69,True
ÑUBLE,982,7R,SAN FABIAN,1,2,2,895,True
BIOBIO,983,CUPANO,LOS ALAMOS,1,1,2,36,True
LA ARAUCANIA,984,VILLAS UNIDAS,CARAHUE,1,2,4,997,True
LOS LAGOS,985,HUYAR ALTO DIAN,CURACO DE VELEZ,1,2,1,431,True
BIOBIO,986,17R,TIRUA,1,1,4,543,True
LOS RIOS,987,6R,MARIQUINA,1,1,2,1086,True
COQUIMBO,988,LOS POZOS  LAS TRANCAS,CANELA,1,1,2,516,True
MAULE,989,SAN LUIS,LONGAVI,1,1,3,1928,True
MAULE,990,PAN DE AZUCAR,SAN JAVIER,1,1,1,291,True
MAULE,991,LOMAS DE POLCURA,LONGAVI,1,1,3,865,True
LA ARAUCANIA,992,CAMPAMENTO - PEDREGOSO,FREIRE,1,2,2,2957,True
ÑUBLE,993,15,BULNES,1,2,1,1644,True
COQUIMBO,994,32,MONTE PATRIA,1,1,1,413,True
ÑUBLE,995,13AR,COIHUECO,1,2,2,1280,True
MAGALLANES Y DE LA ANTARTICA CHILENA,996,SIN DEF COMUNAL,NATALES,1,1,1,2365,False
ÑUBLE,997,009R,SAN CARLOS,1,2,2,1340,True
MAGALLANES Y DE LA ANTARTICA CHILENA,998,0R,TIMAUKEL,1,1,4,178,True
LOS LAGOS,999,LONCONAO,FUTALEUFU,1,2,1,76,True
MAULE,1000,6,MAULE,1,1,1,1650,True
BIOBIO,1001,PARAGUAY,LOS ANGELES,1,1,1,1161,True
LOS LAGOS,1002,EL ROSARIO,CALBUCO,1,2,2,1240,True
BIOBIO,1003,MESAMAVIDA,LOS ANGELES,1,1,1,1063,True
VALPARAISO,1004,1,QUINTERO,1,1,2,2499,True
ANTOFAGASTA,1005,SAN ANTONIO DE CAMAR,SAN PEDRO DE ATACAMA,1,1,2,112,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1006,1,RIO VERDE,1,1,4,168,True
BIOBIO,1007,019,HUALPEN,1,1,1,827,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1008,6,PORVENIR,1,1,1,74,True
LOS LAGOS,1009,SAN JOSE,CASTRO,1,2,1,425,True
COQUIMBO,1010,ALMIRANTE LATORRE,LA SERENA,1,1,1,3,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1011,006R,QUINTA DE TILCOCO,1,1,1,427,True
LA ARAUCANIA,1012,LASTARRIA,GORBEA,1,2,3,1646,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1013,0R,PORVENIR,1,1,1,1179,True
MAULE,1014,6,RETIRO,1,1,1,4532,True
LA ARAUCANIA,1015,LA ESPERANZA,CUNCO,1,2,2,1109,True
BIOBIO,1016,02R,SANTA JUANA,1,1,3,518,True
ÑUBLE,1017,003,SAN NICOLAS,1,2,2,1425,True
LA ARAUCANIA,1018,RUCAHUE - QUETROCO,FREIRE,1,2,2,2568,True
ATACAMA,1019,JUAN XXIII,FREIRINA,1,1,1,435,True
LOS RIOS,1020,1R,MARIQUINA,1,1,2,866,True
LOS LAGOS,1021,LLICO ALTO PARGA,FRESIA,1,2,2,484,True
BIOBIO,1022,TALCAMAVIDA,HUALQUI,1,1,2,884,True
VALPARAISO,1023,4,CATEMU,1,1,1,285,True
LOS RIOS,1024,LLIFEN,FUTRONO,1,1,2,1927,True
BIOBIO,1025,CHILLANCITO,HUALQUI,1,1,2,216,True
VALPARAISO,1026,BOSQUES DE CHEPICA,EL TABO,1,1,3,476,True
COQUIMBO,1027,005,PUNITAQUI,1,1,4,876,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1028,5,LOLOL,1,1,2,529,True
LOS LAGOS,1029,05,MAULLIN,1,2,2,1480,True
ÑUBLE,1030,003,NINHUE,1,2,4,430,True
MAULE,1031,6,EMPEDRADO,1,1,2,470,True
BIOBIO,1032,PITRINCO,LOS ALAMOS,1,1,2,153,True
BIOBIO,1033,001,CANETE,1,1,3,5129,True
VALPARAISO,1034,6,QUINTERO,1,1,2,1005,True
BIOBIO,1035,08R,LAJA,1,1,2,1615,True
ÑUBLE,1036,0016,COIHUECO,1,2,2,3117,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1037,PUERTO PRAT,NATALES,1,1,1,9,True
MAULE,1038,12R,CUREPTO,1,1,2,512,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1039,3,LOLOL,1,1,3,566,True
VALPARAISO,1040,POBLACION HIDALGO,PUTAENDO,1,1,1,266,True
LA ARAUCANIA,1041,TRALULEMU,ANGOL,1,2,2,182,True
MAULE,1042,LA FINCA-LAS ROSAS,VILLA ALEGRE,1,1,1,182,True
MAULE,1043,PEJERREY,LINARES,1,1,1,216,True
LOS LAGOS,1044,LIUCURA,PUQUELDON,1,2,1,414,True
COQUIMBO,1045,023R,COQUIMBO,1,1,1,340,True
COQUIMBO,1046,48,MONTE PATRIA,1,1,1,428,True
LOS LAGOS,1047,GUAUTRUNES,LOS MUERMOS,1,2,2,300,True
BIOBIO,1048,UNIHUE,HUALQUI,1,1,2,428,True
METROPOLITANA DE SANTIAGO,1049,7,LO PRADO,1,1,1,8040,True
MAULE,1050,CINCO CAMINOS,YERBAS BUENAS,1,1,1,702,True
ARICA Y PARINACOTA,1051,7 DE JUNIO,ARICA,1,2,1,912,True
VALPARAISO,1052,GABRIEL GONZALEZ VIDELA,SAN FELIPE,1,1,1,778,True
BIOBIO,1053,EL PROGRESO,CABRERO,1,1,1,523,True
LOS RIOS,1054,2R,LA UNION,1,1,1,1463,True
LOS LAGOS,1055,EL LIMITE,FUTALEUFU,1,2,2,64,True
LOS LAGOS,1056,CAULIN ALTO,ANCUD,1,2,2,445,True
MAULE,1057,14,PARRAL,1,1,2,2976,True
LA ARAUCANIA,1058,IMPERIAL,NUEVA IMPERIAL,1,2,2,136,True
ÑUBLE,1059,LOS PUQUIOS,EL CARMEN,1,2,3,120,True
BIOBIO,1060,DOLLINCO,NACIMIENTO,1,1,2,610,True
BIOBIO,1061,COLICHEU,CABRERO,1,1,1,559,True
VALPARAISO,1062,EL TABO,EL TABO,1,1,3,4532,True
MAULE,1063,3,RETIRO,1,1,2,1986,True
ÑUBLE,1064,005,RANQUIL,1,2,3,602,True
BIOBIO,1065,RAMADILLAS ORIENTE,ARAUCO,1,1,2,660,True
BIOBIO,1066,005,ALTO BIOBIO,1,1,4,1843,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,1067,SIN DEF COMUNAL,COCHRANE,1,1,1,813,False
LIBERTADOR GENERAL BERNARDO OHIGGINS,1068,CARRIZALILLO,PAREDONES,1,1,2,1292,True
MAULE,1069,PUENTE PANDO,SAN JAVIER,1,1,2,474,True
MAULE,1070,17R,CAUQUENES,1,1,2,994,True
LA ARAUCANIA,1071,PEDRO DE VALDIVIA,PUREN,1,2,4,2274,True
LOS RIOS,1072,6R,LANCO,1,1,1,475,True
VALPARAISO,1073,JOSE ARELLANO,CARTAGENA,1,1,1,1318,True
BIOBIO,1074,QUILLECO RURAL,QUILLECO,1,1,2,960,True
LOS LAGOS,1075,CANELOS CHELLES,LOS MUERMOS,1,2,2,298,True
LOS LAGOS,1076,PUTIQUE QUINCHAO,QUINCHAO,1,2,3,693,True
ÑUBLE,1077,012R,CHILLAN VIEJO,1,2,1,1329,True
MAULE,1078,7,RETIRO,1,1,2,2851,True
ÑUBLE,1079,007,NINHUE,1,2,4,266,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1080,LA PAMPA,COLTAUCO,1,1,1,471,True
ÑUBLE,1081,07R,NIQUEN,1,2,3,3151,True
COQUIMBO,1082,SAN LORENZO,COMBARBALA,1,1,3,104,True
LOS LAGOS,1083,PUERTO FONK - EL VOLCAN - AGUAS BUENAS - LA PICADA - RIO BLANCO COIHUECO - CHAPUCO,PUERTO OCTAY,1,2,1,956,True
ÑUBLE,1084,25AR,COIHUECO,1,2,3,564,True
BIOBIO,1085,13R,CANETE,1,1,3,2231,True
LA ARAUCANIA,1086,CHIHUIMPILLE - HUICHAHUE,FREIRE,1,2,2,2055,True
METROPOLITANA DE SANTIAGO,1087,EL PRADO,SAN PEDRO,1,1,2,1090,True
VALPARAISO,1088,EL ESFUERZO,CARTAGENA,1,1,1,1503,True
ÑUBLE,1089,006R,PINTO,1,2,2,921,True
LOS LAGOS,1090,02,MAULLIN,1,2,2,2075,True
ÑUBLE,1091,03R,NIQUEN,1,2,3,283,True
LOS RIOS,1092,CHANCO,RIO BUENO,1,1,1,92,True
ÑUBLE,1093,COLMUYAO,COBQUECURA,1,2,4,285,True
METROPOLITANA DE SANTIAGO,1094,36,LO ESPEJO,1,1,2,6952,True
BIOBIO,1095,CHANCO,HUALQUI,1,1,2,310,True
ÑUBLE,1096,LOS ALPES,EL CARMEN,1,2,3,22,True
COQUIMBO,1097,001,RIO HURTADO,1,1,1,346,True
LOS LAGOS,1098,CANAL EL COIPO,FRESIA,1,2,2,3873,True
MAULE,1099,1,EMPEDRADO,1,1,3,251,True
BIOBIO,1100,05R,MULCHEN,1,1,2,293,True
ARICA Y PARINACOTA,1101,VALLE HERMOSO,ARICA,1,2,1,249,True
BIOBIO,1102,PEJERREY,QUILLECO,1,1,3,281,True
ÑUBLE,1103,(P) QUIRIHUE URBANO,QUIRIHUE,1,2,3,194,True
LOS LAGOS,1104,APAHUEN DETIF,PUQUELDON,1,2,2,120,True
BIOBIO,1105,13R,SANTA BARBARA,1,1,2,979,True
LA ARAUCANIA,1106,HUERERE,CUNCO,1,2,2,550,True
LA ARAUCANIA,1107,UNIDAD VECINAL RURAL 11,PITRUFQUEN,1,2,3,1275,True
MAULE,1108,010,LICANTEN,1,1,1,207,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1109,PICHILEMU,PICHILEMU,1,1,2,7082,True
VALPARAISO,1110,SIN DEF COMUNAL,PUTAENDO,1,1,1,18,False
LA ARAUCANIA,1111,LOS LLEUQUES,VILCUN,1,2,2,1407,True
COQUIMBO,1112,14,MONTE PATRIA,1,1,1,659,True
BIOBIO,1113,CHILLANCITO,CABRERO,1,1,1,1259,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,1114,PUERTO GUADAL,CHILE CHICO,1,1,2,576,True
ÑUBLE,1115,018R,SAN CARLOS,1,2,3,602,True
LOS LAGOS,1116,CIRUELOS,RIO NEGRO,1,2,2,73,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1117,LOS ROMOS LA PEDRINA,PICHIDEGUA,1,1,1,488,True
BIOBIO,1118,20R,CANETE,1,1,3,1264,True
LOS RIOS,1119,5R,MARIQUINA,1,1,2,2254,True
LOS LAGOS,1120,MAULE BAJO,FRESIA,1,2,3,1341,True
LOS LAGOS,1121,AGUAS BUENAS TANTAUCO,ANCUD,1,2,2,463,True
COQUIMBO,1122,LA CAMPANA,VICUNA,1,1,1,232,True
BIOBIO,1123,16R,CANETE,1,1,3,3548,True
LOS RIOS,1124,8R,MARIQUINA,1,1,3,76,True
LOS LAGOS,1125,QUELQUEL,CASTRO,1,2,1,193,True
VALPARAISO,1126,81,QUILPUE,1,1,1,92,True
LOS LAGOS,1127,POLIZONES,FRESIA,1,2,3,177,True
COQUIMBO,1128,CHOAPA,ILLAPEL,1,1,1,312,True
MAULE,1129,ESPERANZA PLAN,LONGAVI,1,1,3,466,True
BIOBIO,1130,TRES ESQUINAS,QUILLECO,1,2,3,145,True
BIOBIO,1131,TENIENTE MERINO,YUMBEL,1,2,2,419,True
METROPOLITANA DE SANTIAGO,1132,34,PUDAHUEL,1,1,1,2780,True
LA ARAUCANIA,1133,UNIDAD VECINAL 1,CURARREHUE,1,2,4,1829,True
LOS RIOS,1134,MARRIAMO - CUN CUN,RIO BUENO,1,1,1,700,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1135,LA VINILLA,SAN VICENTE,1,1,1,462,True
LA ARAUCANIA,1136,NIAGARA,VILCUN,1,2,2,377,True
MAULE,1137,1,PARRAL,1,1,2,6031,True
LOS RIOS,1138,MANTILHUE - PUYEHUE,RIO BUENO,1,1,1,2203,True
LA ARAUCANIA,1139,LA PAZ,LONCOCHE,1,2,2,831,True
LOS LAGOS,1140,YELCHO,CHAITEN,1,2,3,23,True
METROPOLITANA DE SANTIAGO,1141,26,LO ESPEJO,1,1,2,10044,True
ÑUBLE,1142,08R,NIQUEN,1,2,3,1362,True
MAULE,1143,LOMAS DE LA TERCERA,LONGAVI,1,1,3,406,True
BIOBIO,1144,006,FLORIDA,1,2,3,713,True
TARAPACA,1145,003,HUARA,1,1,4,1688,True
LA ARAUCANIA,1146,1 y 2 DE OCTUBRE,CURACAUTIN,1,2,2,1359,True
BIOBIO,1147,10R,CANETE,1,2,3,871,True
ATACAMA,1148,SIN DEF COMUNAL,FREIRINA,1,1,1,1508,False
VALPARAISO,1149,13R,CABILDO,1,1,1,105,True
METROPOLITANA DE SANTIAGO,1150,024,MELIPILLA,1,1,1,914,True
LOS LAGOS,1151,QUETROLAUQUEN,CALBUCO,1,2,2,366,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1152,LAS BARRACAS,PUMANQUE,1,1,1,136,True
BIOBIO,1153,VAQUERIA,HUALQUI,1,2,2,391,True
COQUIMBO,1154,AGUA GRANDE,LA SERENA,1,1,1,0,True
BIOBIO,1155,ESTERO LOS SAPOS,CABRERO,1,2,1,252,True
MAULE,1156,LA AGUADA ACHIBUENO,LONGAVI,1,1,3,803,True
COQUIMBO,1157,LA LIGUA,COMBARBALA,1,1,3,888,True
LA ARAUCANIA,1158,RAHUE,LONQUIMAY,1,2,4,71,True
ANTOFAGASTA,1159,22,TOCOPILLA,1,1,1,560,True
MAULE,1160,SIN DEF COMUNAL,COLBUN,1,1,1,62,False
MAULE,1161,12,RETIRO,1,1,2,230,True
COQUIMBO,1162,PEÑABLANCA,OVALLE,1,1,1,250,True
VALPARAISO,1163,SIN DEF COMUNAL,LLAILLAY,1,1,1,90,False
METROPOLITANA DE SANTIAGO,1164,A10,PUENTE ALTO,1,1,1,10599,True
BIOBIO,1165,QUILAPALOS,QUILACO,1,2,1,179,True
LOS RIOS,1166,LITRAN,RIO BUENO,1,1,1,717,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1167,NILAHUE ALTO  BARAHONA,PUMANQUE,1,1,2,167,True
BIOBIO,1168,PERIQUILLO,HUALQUI,1,2,3,398,True
VALPARAISO,1169,LA ORILLA,PUTAENDO,1,1,2,381,True
LA ARAUCANIA,1170,MANZANARES,RENAICO,1,2,1,1261,True
LA ARAUCANIA,1171,CHIGUAHUE,COLLIPULLI,1,2,2,448,True
LOS LAGOS,1172,DETIF,PUQUELDON,1,2,2,246,True
LA ARAUCANIA,1173,LA ESPIGA,FREIRE,1,2,3,910,True
ÑUBLE,1174,04R,NIQUEN,1,2,4,1409,True
ÑUBLE,1175,001R,PINTO,1,2,2,1257,True
ÑUBLE,1176,9,BULNES,1,2,1,1629,True
LA ARAUCANIA,1177,HUICHAHUE,PADRE LAS CASAS,1,2,2,3860,True
LOS LAGOS,1178,PUCHILCO,PUQUELDON,1,2,2,220,True
ÑUBLE,1179,007AU,SAN CARLOS,1,2,3,7424,True
METROPOLITANA DE SANTIAGO,1180,LOICA,SAN PEDRO,1,1,2,1584,True
BIOBIO,1181,3R,LEBU,1,2,2,114,True
MAULE,1182,4,RETIRO,1,1,3,26,True
ATACAMA,1183,VISTA HERMOSA,FREIRINA,1,1,2,350,True
LOS LAGOS,1184,PULPITO,CHONCHI,1,2,1,291,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1185,CARACOLES,MALLOA,1,1,1,554,True
BIOBIO,1186,04R,MULCHEN,1,2,2,426,True
BIOBIO,1187,08R,MULCHEN,1,2,2,849,True
LOS LAGOS,1188,MECHUQUE LA VEGA,QUEMCHI,1,2,3,246,True
LOS RIOS,1189,CARIMALLIN,RIO BUENO,1,1,2,1381,True
MAULE,1190,8,RETIRO,1,1,3,1049,True
ÑUBLE,1191,012,SAN NICOLAS,1,2,2,1639,True
ÑUBLE,1192,0015,COIHUECO,1,2,3,4684,True
ÑUBLE,1193,19AR,COIHUECO,1,2,3,2469,True
ÑUBLE,1194,13R,YUNGAY,1,2,2,626,True
LA ARAUCANIA,1195,LICAN RAY,VILLARRICA,1,2,1,5945,True
BIOBIO,1196,6,LEBU,1,2,2,344,True
BIOBIO,1197,004,FLORIDA,1,2,3,733,True
LA ARAUCANIA,1198,COLONIA CAUPOLICAN,CUNCO,1,2,2,847,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1199,LARMAHUE,PICHIDEGUA,1,1,1,667,True
MAULE,1200,LAS MERCEDES,LONGAVI,1,1,3,854,True
LA ARAUCANIA,1201,CHERQUENCO,VILCUN,1,2,3,2327,True
ÑUBLE,1202,002,RANQUIL,1,2,3,852,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1203,QUEBRADA DEL NUEVO REINO,PICHILEMU,1,1,3,351,True
BIOBIO,1204,EL LITRE,LOS ANGELES,1,2,1,459,True
BIOBIO,1205,LOS CAULLES,CABRERO,1,2,1,898,True
BIOBIO,1206,02R,TUCAPEL,1,2,2,187,True
ÑUBLE,1207,12AR,COIHUECO,1,2,3,718,True
BIOBIO,1208,BAJO LOS RIOS,CURANILAHUE,1,2,1,31,True
BIOBIO,1209,PACÍFICO NORTE,SAN PEDRO DE LA PAZ,1,2,1,19644,True
MAGALLANES Y DE LA ANTARTICA CHILENA,1210,VILLA TEHUELCHE,LAGUNA BLANCA,1,1,4,124,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1211,VIRINTUN,PUMANQUE,1,1,2,330,True
BIOBIO,1212,LA AGUADA,YUMBEL,1,2,2,831,True
LOS RIOS,1213,3R,MARIQUINA,1,1,3,645,True
LOS LAGOS,1214,POPOEN,RIO NEGRO,1,2,2,20,True
LA ARAUCANIA,1215,CUNCO CHICO,PADRE LAS CASAS,1,2,2,2046,True
BIOBIO,1216,HACIENDA MONTE AGUILA,CABRERO,1,2,2,310,True
VALPARAISO,1217,COSTA AZUL,CARTAGENA,1,1,2,783,True
VALPARAISO,1218,CENTRAL PLAYA,CARTAGENA,1,1,2,1047,True
MAULE,1219,LOS CRISTALES,LONGAVI,1,1,3,1963,True
METROPOLITANA DE SANTIAGO,1220,1,LA PINTANA,1,1,2,16829,True
LOS LAGOS,1221,CHANGUITAD SAN JAVIER,CURACO DE VELEZ,1,2,2,692,True
BIOBIO,1222,PLACILLA,HUALQUI,1,2,3,215,True
LOS RIOS,1223,07R,MAFIL,1,1,3,1071,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1224,LO ARGENTINA,PICHIDEGUA,1,1,1,531,True
MAULE,1225,SECTOR NORTE COIPUÉ,CONSTITUCION,1,1,2,31,True
LOS LAGOS,1226,LOS RISCOS,PURRANQUE,1,2,1,155,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1227,MAL PASO PICHIDEGUA,PICHIDEGUA,1,1,1,1204,True
BIOBIO,1228,PICHIARAUCO,CURANILAHUE,1,2,1,345,True
LOS LAGOS,1229,PILLUCO,ANCUD,1,2,2,283,True
LOS RIOS,1230,12R,VALDIVIA,1,1,1,203,True
METROPOLITANA DE SANTIAGO,1231,37A,LO ESPEJO,1,1,2,6115,True
VALPARAISO,1232,SIN DEF COMUNAL,QUINTERO,1,1,2,222,False
BIOBIO,1233,LA SUERTE,NACIMIENTO,1,2,2,192,True
COQUIMBO,1234,020R,COQUIMBO,1,1,1,9098,True
METROPOLITANA DE SANTIAGO,1235,32,ESTACION CENTRAL,1,1,1,6000,True
LA ARAUCANIA,1236,UNIDAD VECINAL 10,CURARREHUE,1,2,4,286,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1237,CUENCA,MALLOA,1,1,1,357,True
LOS LAGOS,1238,14R,QUEILEN,1,2,1,826,True
ÑUBLE,1239,009R,PINTO,1,2,2,988,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,1240,RIO TRANQUILO,RIO IBANEZ,1,1,4,731,True
TARAPACA,1241,CANCOSA,PICA,1,1,1,24,True
LOS LAGOS,1242,LOS CIRUELOS,RIO NEGRO,1,2,2,192,True
ÑUBLE,1243,10R,YUNGAY,1,2,2,127,True
ÑUBLE,1244,02R,YUNGAY,1,2,3,118,True
MAULE,1245,05R,HUALANE,1,1,1,216,True
METROPOLITANA DE SANTIAGO,1246,29,LO ESPEJO,1,1,2,7561,True
ÑUBLE,1247,011,SAN NICOLAS,1,2,2,430,True
ÑUBLE,1248,04R,PEMUCO,1,2,3,1855,True
BIOBIO,1249,2R,LEBU,1,2,2,375,True
LOS LAGOS,1250,LA ESTANCIA,CASTRO,1,2,1,206,True
LA ARAUCANIA,1251,LEONORA LATORRE,PUREN,1,2,4,1334,True
MAULE,1252,VEGA ANCOA,LINARES,1,1,1,1047,True
COQUIMBO,1253,PEJERREYES,OVALLE,1,1,1,316,True
LOS LAGOS,1254,PIEDRAS NEGRAS - EL ISLOTE - PUERTO RICO - RIO BLANCO GAVIOTAS - LAS GAVIOTAS,PUERTO OCTAY,1,2,1,605,True
LOS LAGOS,1255,PUMANZANO,ANCUD,1,2,2,203,True
BIOBIO,1256,LOS TRONCOS,LOS ANGELES,1,2,1,2452,True
VALPARAISO,1257,137,VALPARAISO,1,1,1,840,True
METROPOLITANA DE SANTIAGO,1258,23,RECOLETA,1,1,1,6491,True
LA ARAUCANIA,1259,SANTA EMA,CURACAUTIN,1,2,2,674,True
COQUIMBO,1260,LA COMPANIA,VICUNA,1,1,1,415,True
BIOBIO,1261,10R,LAJA,1,2,2,1482,True
LA ARAUCANIA,1262,COLLICO,LONCOCHE,1,2,2,603,True
LOS LAGOS,1263,LOS ANGELES,CASTRO,1,2,2,262,True
METROPOLITANA DE SANTIAGO,1264,LOS AVELLANOS,LA GRANJA,1,1,1,7264,True
BIOBIO,1265,2,LEBU,1,2,2,235,True
ÑUBLE,1266,6,BULNES,1,3,1,469,True
COQUIMBO,1267,018,COQUIMBO,1,1,1,50227,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,1268,CENTRO C,CHILE CHICO,1,1,2,965,True
LA ARAUCANIA,1269,CODINHUE,VILCUN,1,2,3,1403,True
COQUIMBO,1270,LOURDES,VICUNA,1,1,1,822,True
METROPOLITANA DE SANTIAGO,1271,VILLA NUEVA ESPERANZA,PEDRO AGUIRRE CERDA,1,1,1,7974,True
LA ARAUCANIA,1272,EL VERGUEL,ANGOL,1,2,2,39,True
MAULE,1273,CHUPALLAR,LINARES,1,1,1,710,True
BIOBIO,1274,CALLE TUCAPEL,YUMBEL,1,2,2,653,True
LA ARAUCANIA,1275,CAPITAN PASTENE,LUMACO,1,2,4,2659,True
VALPARAISO,1276,ILIMAY,EL TABO,1,1,4,80,True
BIOBIO,1277,001,SAN ROSENDO,1,2,3,1908,True
MAULE,1278,HUERTA DE MAULE,SAN JAVIER,1,1,2,777,True
BIOBIO,1279,008,CANETE,1,2,4,1493,True
BIOBIO,1280,05R,YUMBEL,1,2,3,66,True
VALPARAISO,1281,EL ALGARROBAL,SAN FELIPE,1,1,1,929,True
BIOBIO,1282,PILLANCO,CABRERO,1,2,2,943,True
LOS LAGOS,1283,CHAURAHUE,QUEMCHI,1,2,3,336,True
LA ARAUCANIA,1284,LOS PLACERES,ANGOL,1,2,2,35,True
VALPARAISO,1285,9R,CABILDO,1,1,1,33,True
ARICA Y PARINACOTA,1286,84,ARICA,1,2,1,1261,True
MAULE,1287,10R,CUREPTO,1,1,2,553,True
COQUIMBO,1288,001,PUNITAQUI,1,1,4,5699,True
MAULE,1289,15,PARRAL,1,1,2,1762,True
COQUIMBO,1290,33,MONTE PATRIA,1,1,1,793,True
LA ARAUCANIA,1291,CALIFORNIA,VICTORIA,1,2,2,972,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1292,3R,LITUECHE,1,1,2,1426,True
COQUIMBO,1293,VILLA PUCLARO,VICUNA,1,1,2,236,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1294,LA TUNA,PLACILLA,1,1,1,1157,True
BIOBIO,1295,07R,MULCHEN,1,2,2,518,True
MAULE,1296,PUNTA DE MONTE - LAS MOTAS,LONGAVI,1,1,3,627,True
COQUIMBO,1297,55,MONTE PATRIA,1,1,1,145,True
BIOBIO,1298,CHACAYAL,LOS ANGELES,1,2,1,616,True
METROPOLITANA DE SANTIAGO,1299,EL ESFUERZO,PEDRO AGUIRRE CERDA,1,1,1,8176,True
ÑUBLE,1300,TROPEZON CARAVANCHEL,COELEMU,1,3,2,1497,True
LOS LAGOS,1301,RILAN,CASTRO,1,2,2,332,True
ÑUBLE,1302,008R,PINTO,1,3,3,908,True
MAULE,1303,SANTA SOFIA,CAUQUENES,1,1,2,780,True
ÑUBLE,1304,3R,SAN FABIAN,1,3,3,437,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,1305,CARDONAL DE PANILONCO,PICHILEMU,1,1,3,293,True
METROPOLITANA DE SANTIAGO,1306,9,CONCHALI,1,1,1,8933,True
