scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,6102,Codegua,Libertador General Bernardo O'Higgins,True,True,5176,3111,3140,29,41,3181,2036,2036,1995,1995,41,41
commune,6103,Coinco,Libertador General Bernardo O'Higgins,True,True,3385,1639,1639,0,20,1659,1746,1746,1726,1726,20,20
commune,6104,Coltauco,Libertador General Bernardo O'Higgins,True,True,8582,6034,6038,4,53,6091,2544,2544,2491,2491,53,53
commune,6105,Doñihue,Libertador General Bernardo O'Higgins,True,True,8375,6023,6026,3,73,6099,2349,2349,2276,2276,73,73
commune,6106,Graneros,Libertador General Bernardo O'Higgins,True,True,12959,10992,10993,1,139,11132,1966,1966,1827,1827,139,139
commune,6107,Las Cabras,Libertador General Bernardo O'Higgins,True,True,14752,8233,8238,5,148,8386,6514,6514,6366,6366,148,148
commune,6108,Machalí,Libertador General Bernardo O'Higgins,True,True,22672,21141,21153,12,209,21362,1519,1519,1310,1310,209,209
commune,6109,Malloa,Libertador General Bernardo O'Higgins,True,True,5736,3394,3395,1,52,3447,2341,2341,2289,2289,52,52
commune,6110,Mostazal,Libertador General Bernardo O'Higgins,True,True,10133,6905,6916,11,115,7031,3217,3217,3102,3102,115,115
commune,6111,Olivar,Libertador General Bernardo O'Higgins,True,True,5245,3120,3121,1,62,3183,2124,2124,2062,2062,62,62
commune,6112,Peumo,Libertador General Bernardo O'Higgins,True,True,5302,4035,4035,0,50,4085,1267,1267,1217,1217,50,50
commune,6113,Pichidegua,Libertador General Bernardo O'Higgins,True,True,7989,5318,5319,1,60,5379,2670,2670,2610,2610,60,60
commune,6114,Quinta de Tilcoco,Libertador General Bernardo O'Higgins,True,True,5254,4011,4014,3,49,4063,1240,1240,1191,1191,49,49
commune,6115,Rengo,Libertador General Bernardo O'Higgins,True,True,25124,21757,21758,1,262,22020,3366,3366,3104,3104,262,262
commune,6116,Requínoa,Libertador General Bernardo O'Higgins,True,True,10490,7761,7761,0,172,7933,2729,2729,2557,2557,172,172
commune,6117,San Vicente,Libertador General Bernardo O'Higgins,True,True,19274,14059,14065,6,220,14285,5209,5209,4989,4989,220,220
commune,6201,Pichilemu,Libertador General Bernardo O'Higgins,True,True,15001,9699,9702,3,227,9929,5299,5299,5072,5072,227,227
commune,6202,La Estrella,Libertador General Bernardo O'Higgins,True,True,3676,1107,1108,1,19,1127,2568,2568,2549,2549,19,19
commune,6203,Litueche,Libertador General Bernardo O'Higgins,True,True,5459,1980,1980,0,129,2109,3479,3479,3350,3350,129,129
commune,6204,Marchihue,Libertador General Bernardo O'Higgins,True,True,5068,2004,2005,1,45,2050,3063,3063,3018,3018,45,45
commune,6205,Navidad,Libertador General Bernardo O'Higgins,True,True,6597,2064,2064,0,46,2110,4533,4533,4487,4487,46,46
commune,6206,Paredones,Libertador General Bernardo O'Higgins,True,True,5686,1904,1904,0,37,1941,3782,3782,3745,3745,37,37
commune,6301,San Fernando,Libertador General Bernardo O'Higgins,True,True,31410,28289,28290,1,437,28727,3120,3120,2683,2683,437,437
commune,6302,Chépica,Libertador General Bernardo O'Higgins,True,True,5961,4698,4699,1,37,4736,1262,1262,1225,1225,37,37
commune,6303,Chimbarongo,Libertador General Bernardo O'Higgins,True,True,14247,9879,9884,5,121,10005,4363,4363,4242,4242,121,121
commune,6304,Lolol,Libertador General Bernardo O'Higgins,True,True,3718,1855,1856,1,19,1875,1862,1862,1843,1843,19,19
commune,6305,Nancagua,Libertador General Bernardo O'Higgins,True,True,7106,5593,5603,10,75,5678,1503,1503,1428,1428,75,75
commune,6306,Palmilla,Libertador General Bernardo O'Higgins,True,True,5130,3202,3202,0,28,3230,1928,1928,1900,1900,28,28
commune,6307,Peralillo,Libertador General Bernardo O'Higgins,True,True,5158,3346,3346,0,57,3403,1812,1812,1755,1755,57,57
commune,6308,Placilla,Libertador General Bernardo O'Higgins,True,True,3758,2103,2105,2,39,2144,1653,1653,1614,1614,39,39
commune,6309,Pumanque,Libertador General Bernardo O'Higgins,True,True,2567,891,891,0,24,915,1676,1676,1652,1652,24,24
commune,6310,Santa Cruz,Libertador General Bernardo O'Higgins,True,True,16443,13562,13564,2,216,13780,2879,2879,2663,2663,216,216
commune,7101,Talca,Maule,True,True,95336,95449,95472,23,1135,96607,-136,0,-1271,0,1135,0
commune,7102,Constitución,Maule,True,True,23400,15980,15980,0,257,16237,7420,7420,7163,7163,257,257
commune,7103,Curepto,Maule,True,True,5196,2671,2673,2,28,2701,2523,2523,2495,2495,28,28
commune,7104,Empedrado,Maule,True,True,1891,1035,1035,0,4,1039,856,856,852,852,4,4
commune,7105,Maule,Maule,True,True,23288,20159,20182,23,79,20261,3106,3106,3027,3027,79,79
commune,7106,Pelarco,Maule,True,True,4073,1940,1940,0,15,1955,2133,2133,2118,2118,15,15
commune,7107,Pencahue,Maule,True,True,4680,2573,2573,0,18,2591,2107,2107,2089,2089,18,18
commune,7108,Río Claro,Maule,True,True,6277,3570,3571,1,18,3589,2706,2706,2688,2688,18,18
commune,7109,San Clemente,Maule,True,True,22304,12832,12836,4,117,12953,9468,9468,9351,9351,117,117
commune,7110,San Rafael,Maule,True,True,4786,2689,2689,0,23,2712,2097,2097,2074,2074,23,23
commune,7201,Cauquenes,Maule,True,True,20228,16473,16475,2,216,16691,3753,3753,3537,3537,216,216
commune,7202,Chanco,Maule,True,True,4441,1955,1959,4,25,1984,2482,2482,2457,2457,25,25
commune,7203,Pelluhue,Maule,True,True,7739,3826,3838,12,105,3943,3901,3901,3796,3796,105,105
commune,7301,Curicó,Maule,True,True,62193,57409,57410,1,615,58025,4783,4783,4168,4168,615,615
commune,7302,Hualañé,Maule,True,True,5196,3272,3272,0,72,3344,1924,1924,1852,1852,72,72
commune,7303,Licantén,Maule,True,True,4498,2590,2592,2,76,2668,1906,1906,1830,1830,76,76
commune,7304,Molina,Maule,True,True,18966,16504,16505,1,218,16723,2461,2461,2243,2243,218,218
commune,7305,Rauco,Maule,True,True,4783,3164,3164,0,28,3192,1619,1619,1591,1591,28,28
commune,7306,Romeral,Maule,True,True,7230,4575,4576,1,74,4650,2654,2654,2580,2580,74,74
commune,7307,Sagrada Familia,Maule,True,True,7528,4885,4887,2,87,4974,2641,2641,2554,2554,87,87
commune,7308,Teno,Maule,True,True,12499,7088,7089,1,97,7186,5410,5410,5313,5313,97,97
commune,7309,Vichuquén,Maule,True,True,4420,2367,2369,2,32,2401,2051,2051,2019,2019,32,32
commune,7401,Linares,Maule,True,True,41354,34420,34421,1,535,34956,6933,6933,6398,6398,535,535
commune,7402,Colbún,Maule,True,True,10579,5825,5832,7,48,5880,4747,4747,4699,4699,48,48
commune,7403,Longaví,Maule,True,True,14131,5599,5612,13,73,5685,8519,8519,8446,8446,73,73
commune,7404,Parral,Maule,True,True,20781,15021,15023,2,257,15280,5758,5758,5501,5501,257,257
commune,7405,Retiro,Maule,True,True,10148,4521,4523,2,50,4573,5625,5625,5575,5575,50,50
commune,7406,San Javier,Maule,True,True,22226,17484,17487,3,192,17679,4739,4739,4547,4547,192,192
commune,7407,Villa Alegre,Maule,True,True,8164,5936,5936,0,51,5987,2228,2228,2177,2177,51,51
commune,7408,Yerbas Buenas,Maule,True,True,8086,4006,4009,3,28,4037,4077,4077,4049,4049,28,28
commune,8101,Concepción,Biobío,True,True,101138,91142,91251,109,1362,92613,9887,9887,8525,8525,1362,1362
commune,8102,Coronel,Biobío,True,True,45727,44518,44529,11,381,44910,1198,1198,817,817,381,381
commune,8103,Chiguayante,Biobío,True,True,30649,28102,28109,7,221,28330,2540,2540,2319,2319,221,221
commune,8104,Florida,Biobío,True,True,6744,2668,2677,9,30,2707,4067,4067,4037,4037,30,30
commune,8105,Hualqui,Biobío,True,True,10872,7476,7479,3,59,7538,3393,3393,3334,3334,59,59
commune,8106,Lota,Biobío,True,True,15964,13113,13113,0,168,13281,2851,2851,2683,2683,168,168
commune,8107,Penco,Biobío,True,True,17558,14413,14416,3,234,14650,3142,3142,2908,2908,234,234
commune,8108,San Pedro de La paz,Biobío,True,True,56843,55366,55385,19,490,55875,1458,1458,968,968,490,490
commune,8109,Santa Juana,Biobío,True,True,7531,4321,4321,0,67,4388,3210,3210,3143,3143,67,67
commune,8110,Talcahuano,Biobío,True,True,53783,46120,46120,0,683,46803,7663,7663,6980,6980,683,683
commune,8111,Tomé,Biobío,True,True,25096,19270,19273,3,265,19538,5823,5823,5558,5558,265,265
commune,8112,Hualpén,Biobío,True,True,32270,31300,31300,0,238,31538,970,970,732,732,238,238
commune,8201,Lebu,Biobío,True,True,10229,7866,7866,0,118,7984,2363,2363,2245,2245,118,118
commune,8202,Arauco,Biobío,True,True,15163,10831,10832,1,214,11046,4331,4331,4117,4117,214,214
commune,8203,Cañete,Biobío,True,True,14497,7345,7351,6,169,7520,7146,7146,6977,6977,169,169
commune,8204,Contulmo,Biobío,True,True,2990,1189,1190,1,40,1230,1800,1800,1760,1760,40,40
commune,8205,Curanilahue,Biobío,True,True,13197,9272,9272,0,96,9368,3925,3925,3829,3829,96,96
commune,8206,Los Álamos,Biobío,True,True,9305,6103,6105,2,62,6167,3200,3200,3138,3138,62,62
commune,8207,Tirúa,Biobío,True,True,4894,1437,1437,0,25,1462,3457,3457,3432,3432,25,25
commune,8301,Los Ángeles,Biobío,True,True,93016,65581,65587,6,749,66336,27429,27429,26680,26680,749,749
commune,8302,Antuco,Biobío,True,True,2671,1314,1314,0,27,1341,1357,1357,1330,1330,27,27
commune,8303,Cabrero,Biobío,True,True,13268,8433,8433,0,143,8576,4835,4835,4692,4692,143,143
commune,8304,Laja,Biobío,True,True,10088,6267,6267,0,139,6406,3821,3821,3682,3682,139,139
commune,8305,Mulchén,Biobío,True,True,11587,7473,7474,1,146,7620,4113,4113,3967,3967,146,146
commune,8306,Nacimiento,Biobío,True,True,11086,8095,8095,0,173,8268,2991,2991,2818,2818,173,173
commune,8307,Negrete,Biobío,True,True,4421,2478,2478,0,32,2510,1943,1943,1911,1911,32,32
commune,8308,Quilaco,Biobío,True,True,2448,992,992,0,13,1005,1456,1456,1443,1443,13,13
commune,8309,Quilleco,Biobío,True,True,4500,2020,2020,0,39,2059,2480,2480,2441,2441,39,39
commune,8310,San Rosendo,Biobío,True,True,1866,938,938,0,15,953,928,928,913,913,15,15
commune,8311,Santa Bárbara,Biobío,True,True,6392,3323,3323,0,69,3392,3069,3069,3000,3000,69,69
commune,8312,Tucapel,Biobío,True,True,7789,6147,6147,0,97,6244,1642,1642,1545,1545,97,97
commune,8313,Yumbel,Biobío,True,True,14108,6290,6291,1,131,6422,7817,7817,7686,7686,131,131
commune,8314,Alto Biobío,Biobío,True,True,2775,255,255,0,15,270,2520,2520,2505,2505,15,15
commune,9101,Temuco,La Araucanía,True,True,128995,110572,110578,6,1560,112138,18417,18417,16857,16857,1560,1560
commune,9102,Carahue,La Araucanía,True,True,11653,5114,5115,1,144,5259,6538,6538,6394,6394,144,144
commune,9103,Cunco,La Araucanía,True,True,10533,5091,5091,0,133,5224,5442,5442,5309,5309,133,133
commune,9104,Curarrehue,La Araucanía,True,True,4431,896,897,1,34,931,3534,3534,3500,3500,34,34
commune,9105,Freire,La Araucanía,True,True,12594,3460,3461,1,94,3555,9133,9133,9039,9039,94,94
commune,9106,Galvarino,La Araucanía,True,True,5475,1646,1646,0,58,1704,3829,3829,3771,3771,58,58
commune,9107,Gorbea,La Araucanía,True,True,6698,4201,4201,0,122,4323,2497,2497,2375,2375,122,122
commune,9108,Lautaro,La Araucanía,True,True,18213,11948,11948,0,248,12196,6265,6265,6017,6017,248,248
commune,9109,Loncoche,La Araucanía,True,True,12370,7087,7087,0,189,7276,5283,5283,5094,5094,189,189
commune,9110,Melipeuco,La Araucanía,True,True,3606,1081,1081,0,37,1118,2525,2525,2488,2488,37,37
commune,9111,Nueva Imperial,La Araucanía,True,True,14834,6473,6473,0,162,6635,8361,8361,8199,8199,162,162
commune,9112,Padre Las Casas,La Araucanía,True,True,32146,17763,17767,4,258,18025,14379,14379,14121,14121,258,258
commune,9113,Perquenco,La Araucanía,True,True,3345,1458,1458,0,28,1486,1887,1887,1859,1859,28,28
commune,9114,Pitrufquén,La Araucanía,True,True,13094,7542,7542,0,185,7727,5552,5552,5367,5367,185,185
commune,9115,Pucón,La Araucanía,True,True,28756,15041,15043,2,511,15554,13713,13713,13202,13202,511,511
commune,9116,Saavedra,La Araucanía,True,True,6753,1408,1408,0,92,1500,5345,5345,5253,5253,92,92
commune,9117,Teodoro Schmidt,La Araucanía,True,True,8005,2547,2547,0,78,2625,5458,5458,5380,5380,78,78
commune,9118,Toltén,La Araucanía,True,True,4951,1864,1864,0,63,1927,3087,3087,3024,3024,63,63
commune,9119,Vilcún,La Araucanía,True,True,13920,7491,7491,0,111,7602,6429,6429,6318,6318,111,111
commune,9120,Villarrica,La Araucanía,True,True,43213,23141,23145,4,668,23813,20068,20068,19400,19400,668,668
commune,9121,Cholchol,La Araucanía,True,True,5268,1727,1731,4,40,1771,3537,3537,3497,3497,40,40
commune,9201,Angol,La Araucanía,True,True,22085,19299,19299,0,375,19674,2786,2786,2411,2411,375,375
commune,9202,Collipulli,La Araucanía,True,True,10454,6634,6635,1,109,6744,3819,3819,3710,3710,109,109
commune,9203,Curacautín,La Araucanía,True,True,9916,6246,6247,1,168,6415,3669,3669,3501,3501,168,168
commune,9204,Ercilla,La Araucanía,True,True,3782,1606,1608,2,30,1638,2174,2174,2144,2144,30,30
commune,9205,Lonquimay,La Araucanía,True,True,5651,1614,1614,0,78,1692,4037,4037,3959,3959,78,78
commune,9206,Los Sauces,La Araucanía,True,True,3369,1880,1880,0,39,1919,1489,1489,1450,1450,39,39
commune,9207,Lumaco,La Araucanía,True,True,4214,1583,1586,3,50,1636,2628,2628,2578,2578,50,50
commune,9208,Purén,La Araucanía,True,True,5298,3119,3120,1,71,3191,2178,2178,2107,2107,71,71
commune,9209,Renaico,La Araucanía,True,True,4516,3354,3358,4,34,3392,1158,1158,1124,1124,34,34
commune,9210,Traiguén,La Araucanía,True,True,8371,5785,5786,1,107,5893,2585,2585,2478,2478,107,107
commune,9211,Victoria,La Araucanía,True,True,14449,10011,10012,1,243,10255,4437,4437,4194,4194,243,243
