scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,12401,Natales,Magallanes y de la Antártica Chilena,True,True,11205,8796,8796,0,306,9102,2409,2409,2103,2103,306,306
commune,12402,Torres del Paine,Magallanes y de la Antártica Chilena,True,True,303,23,23,0,11,34,280,280,269,269,11,11
commune,13101,Santiago,Metropolitana de Santiago,True,True,239172,219706,219735,29,2580,222315,19437,19437,16857,16857,2580,2580
commune,13102,Cerrillos,Metropolitana de Santiago,True,True,31635,28135,28136,1,320,28456,3499,3499,3179,3179,320,320
commune,13103,Cerro Navia,Metropolitana de Santiago,True,True,40081,30699,30699,0,723,31422,9382,9382,8659,8659,723,723
commune,13104,Conchalí,Metropolitana de Santiago,True,True,38815,32219,32223,4,690,32913,6592,6592,5902,5902,690,690
commune,13105,El Bosque,Metropolitana de Santiago,True,True,50329,42543,42545,2,702,43247,7784,7784,7082,7082,702,702
commune,13106,Estación Central,Metropolitana de Santiago,True,True,75992,70314,70314,0,575,70889,5678,5678,5103,5103,575,575
commune,13107,Huechuraba,Metropolitana de Santiago,True,True,31097,28411,28415,4,185,28600,2682,2682,2497,2497,185,185
commune,13108,Independencia,Metropolitana de Santiago,True,True,50308,43742,43746,4,748,44494,6562,6562,5814,5814,748,748
commune,13109,La Cisterna,Metropolitana de Santiago,True,True,41580,42308,42309,1,1024,43333,-729,0,-1753,0,1024,0
commune,13110,La Florida,Metropolitana de Santiago,True,True,143584,140184,140209,25,1054,141263,3375,3375,2321,2321,1054,1054
commune,13111,La Granja,Metropolitana de Santiago,True,True,36686,29929,29929,0,588,30517,6757,6757,6169,6169,588,588
commune,13112,La Pintana,Metropolitana de Santiago,True,True,53011,48826,48827,1,620,49447,4184,4184,3564,3564,620,620
commune,13113,La Reina,Metropolitana de Santiago,True,True,31596,30064,30094,30,224,30318,1502,1502,1278,1278,224,224
commune,13114,Las Condes,Metropolitana de Santiago,True,True,128937,128395,128417,22,532,128949,520,520,-12,0,532,520
commune,13115,Lo Barnechea,Metropolitana de Santiago,True,True,36370,33957,34071,114,141,34212,2299,2299,2158,2158,141,141
commune,13116,Lo Espejo,Metropolitana de Santiago,True,True,27346,23026,23027,1,336,23363,4319,4319,3983,3983,336,336
commune,13117,Lo Prado,Metropolitana de Santiago,True,True,31002,24089,24090,1,405,24495,6912,6912,6507,6507,405,405
commune,13118,Macul,Metropolitana de Santiago,True,True,50694,49150,49159,9,243,49402,1535,1535,1292,1292,243,243
commune,13119,Maipú,Metropolitana de Santiago,True,True,169332,161167,161180,13,596,161776,8152,8152,7556,7556,596,596
commune,13120,Ñuñoa,Metropolitana de Santiago,True,True,121424,127740,127744,4,476,128220,-6320,0,-6796,0,476,0
commune,13121,Pedro Aguirre Cerda,Metropolitana de Santiago,True,True,31027,26581,26581,0,478,27059,4446,4446,3968,3968,478,478
commune,13122,Peñalolén,Metropolitana de Santiago,True,True,75487,62545,62568,23,533,63101,12919,12919,12386,12386,533,533
commune,13123,Providencia,Metropolitana de Santiago,True,True,76376,75458,75480,22,945,76425,896,896,-49,0,945,896
commune,13124,Pudahuel,Metropolitana de Santiago,True,True,73700,64790,64792,2,456,65248,8908,8908,8452,8452,456,456
commune,13125,Quilicura,Metropolitana de Santiago,True,True,66986,65154,65158,4,292,65450,1828,1828,1536,1536,292,292
commune,13126,Quinta Normal,Metropolitana de Santiago,True,True,46784,38307,38317,10,1259,39576,8467,8467,7208,7208,1259,1259
commune,13127,Recoleta,Metropolitana de Santiago,True,True,55851,40340,40347,7,1088,41435,15504,15504,14416,14416,1088,1088
commune,13128,Renca,Metropolitana de Santiago,True,True,46449,41881,41884,3,412,42296,4565,4565,4153,4153,412,412
commune,13129,San Joaquín,Metropolitana de Santiago,True,True,33840,31123,31123,0,711,31834,2717,2717,2006,2006,711,711
commune,13130,San Miguel,Metropolitana de Santiago,True,True,65777,63793,63794,1,936,64730,1983,1983,1047,1047,936,936
commune,13131,San Ramón,Metropolitana de Santiago,True,True,23812,19227,19230,3,456,19686,4582,4582,4126,4126,456,456
commune,13132,Vitacura,Metropolitana de Santiago,True,True,34523,35280,35280,0,173,35453,-757,0,-930,0,173,0
commune,13201,Puente Alto,Metropolitana de Santiago,True,True,190304,181048,181059,11,1017,182076,9245,9245,8228,8228,1017,1017
commune,13202,Pirque,Metropolitana de Santiago,True,True,10181,5282,5286,4,62,5348,4895,4895,4833,4833,62,62
commune,13203,San José de Maipo,Metropolitana de Santiago,True,True,8017,4570,4577,7,216,4793,3440,3440,3224,3224,216,216
commune,13301,Colina,Metropolitana de Santiago,True,True,54763,48335,48360,25,243,48603,6403,6403,6160,6160,243,243
commune,13302,Lampa,Metropolitana de Santiago,True,True,50270,35082,35091,9,300,35391,15179,15179,14879,14879,300,300
commune,13303,Tiltil,Metropolitana de Santiago,True,True,8229,4422,4426,4,81,4507,3803,3803,3722,3722,81,81
commune,13401,San Bernardo,Metropolitana de Santiago,True,True,102205,92672,92679,7,780,93459,9526,9526,8746,8746,780,780
commune,13402,Buin,Metropolitana de Santiago,True,True,42438,34675,34676,1,337,35013,7762,7762,7425,7425,337,337
commune,13403,Calera de Tango,Metropolitana de Santiago,True,True,8399,5492,5493,1,75,5568,2906,2906,2831,2831,75,75
commune,13404,Paine,Metropolitana de Santiago,True,True,30796,17500,17501,1,225,17726,13295,13295,13070,13070,225,225
commune,13501,Melipilla,Metropolitana de Santiago,True,True,52214,35643,35662,19,398,36060,16552,16552,16154,16154,398,398
commune,13502,Alhué,Metropolitana de Santiago,True,True,3311,1235,1238,3,9,1247,2073,2073,2064,2064,9,9
commune,13503,Curacaví,Metropolitana de Santiago,True,True,14218,8691,8705,14,129,8834,5513,5513,5384,5384,129,129
commune,13504,María Pinto,Metropolitana de Santiago,True,True,5880,2705,2714,9,18,2732,3166,3166,3148,3148,18,18
commune,13505,San Pedro,Metropolitana de Santiago,True,True,5358,915,915,0,14,929,4443,4443,4429,4429,14,14
commune,13601,Talagante,Metropolitana de Santiago,True,True,27522,20709,20711,2,223,20934,6811,6811,6588,6588,223,223
commune,13602,El Monte,Metropolitana de Santiago,True,True,13357,10092,10092,0,102,10194,3265,3265,3163,3163,102,102
commune,13603,Isla de Maipo,Metropolitana de Santiago,True,True,14518,10573,10577,4,124,10701,3941,3941,3817,3817,124,124
commune,13604,Padre Hurtado,Metropolitana de Santiago,True,True,28781,26040,26040,0,159,26199,2741,2741,2582,2582,159,159
commune,13605,Peñaflor,Metropolitana de Santiago,True,True,33023,28318,28320,2,277,28597,4703,4703,4426,4426,277,277
commune,1401,Pozo Almonte,Tarapacá,True,True,11593,5379,5379,0,129,5508,6214,6214,6085,6085,129,129
commune,1402,Camiña,Tarapacá,True,True,1178,494,494,0,12,506,684,684,672,672,12,12
commune,1403,Colchane,Tarapacá,True,True,2112,239,239,0,5,244,1873,1873,1868,1868,5,5
commune,1404,Huara,Tarapacá,True,True,3212,1676,1676,0,21,1697,1536,1536,1515,1515,21,21
commune,1405,Pica,Tarapacá,True,True,3196,1912,1913,1,59,1972,1283,1283,1224,1224,59,59
commune,14101,Valdivia,Los Ríos,True,True,72810,51798,51809,11,873,52682,21001,21001,20128,20128,873,873
commune,14102,Corral,Los Ríos,True,True,3358,1712,1712,0,21,1733,1646,1646,1625,1625,21,21
commune,14103,Lanco,Los Ríos,True,True,7781,4838,4839,1,126,4965,2942,2942,2816,2816,126,126
commune,14104,Los Lagos,Los Ríos,True,True,9572,4430,4430,0,126,4556,5142,5142,5016,5016,126,126
