codigo_comuna,comuna,region,conara_sources,source_available,dwellings_2024,vacant_2024,households_2024,occupied_private_dwellings_2024,irrecoverable_type_dwellings_2024,irrecoverable_materiality_dwellings_2024,irrecoverable_dwellings_2024,residential_roles_2026s1,signed_gap,coverage_pct,camp_polygons_2026,camp_census_households_observed_2024,camp_census_count_missing_polygons,camp_catalog_households_2026,camp_sensitivity_signed_gap,camp_sensitivity_positive_gap,camp_absorbed_positive_gap,camp_absorbed_positive_gap_pct,camp_adjustment_status,historical_conara_sources,historical_source_available,residential_roles_2024s2,gap_2024s2,roles_without_coordinates,parent_references,net_mean_annual_clp,net_median_annual_clp,net_positive_share,net_positive_mean_annual_clp,net_positive_median_annual_clp,scenario_q0_clp,scenario_q025_clp,scenario_q05_clp,scenario_q1_clp,fiscal_status
8207,Tirúa,Biobío,08307,True,4894,1277,3607,3579,13,10,22,1437,3457,29.362484675112384,0,0,0,0,3457,3457,0,0.0,no_current_camp_polygon,08307,True,1413,3481,78,0,,,,,,,,,,blocked_components
8301,Los Ángeles,Biobío,08401,True,93016,12551,78445,77467,323,218,531,65581,27435,70.50507439580288,8,260,1,304,27175,27175,260,0.9476945507563331,partial_census_count,08401,True,62698,30318,754,0,,,,,,,,,,blocked_components
8302,Antuco,Biobío,08413,True,2671,936,1722,1701,12,4,16,1314,1357,49.19505803070011,0,0,0,0,1357,1357,0,0.0,no_current_camp_polygon,08413,True,1269,1402,360,0,,,,,,,,,,blocked_components
8303,Cabrero,Biobío,08410,True,13268,1860,11389,11261,57,23,79,8433,4835,63.55893880012059,0,0,0,0,4835,4835,0,0.0,no_current_camp_polygon,08410,True,8239,5029,867,0,,,,,,,,,,blocked_components
8304,Laja,Biobío,08403,True,10088,1519,8562,8459,73,62,131,6267,3821,62.123314829500394,3,102,1,152,3719,3719,102,2.669458257000785,partial_census_count,08403,True,6140,3948,832,0,,,,,,,,,,blocked_components
8305,Mulchén,Biobío,08407,True,11587,1500,10163,9970,24,20,42,7473,4114,64.49469232760853,3,114,2,121,4000,4000,114,2.7710257656781723,partial_census_count,08407,True,7352,4235,537,0,,,,,,,,,,blocked_components
8306,Nacimiento,Biobío,08405,True,11086,1752,9231,9107,67,55,120,8095,2991,73.020025257081,0,0,0,0,2991,2991,0,0.0,no_current_camp_polygon,08405,True,7359,3727,590,0,,,,,,,,,,blocked_components
8307,Negrete,Biobío,08406,True,4421,614,3762,3721,45,12,57,2478,1943,56.050667269848454,3,45,1,99,1898,1898,45,2.316006176016469,partial_census_count,08406,True,2268,2153,233,0,,,,,,,,,,blocked_components
8308,Quilaco,Biobío,08408,True,2448,705,1727,1707,10,19,28,992,1456,40.52287581699346,0,0,0,0,1456,1456,0,0.0,no_current_camp_polygon,08408,True,930,1518,283,0,,,,,,,,,,blocked_components
8309,Quilleco,Biobío,08404,True,4500,851,3582,3537,36,11,45,2020,2480,44.888888888888886,1,15,0,23,2465,2465,15,0.6048387096774194,complete_census_count,08404,True,1992,2508,524,0,,,,,,,,,,blocked_components
8310,San Rosendo,Biobío,08411,True,1866,553,1322,1307,11,12,18,938,928,50.267952840300104,1,97,0,30,831,831,97,10.452586206896552,complete_census_count,08411,True,940,926,65,0,,,,,,,,,,blocked_components
8311,Santa Bárbara,Biobío,08402,True,6392,1013,5215,5143,30,28,57,3323,3069,51.98685857321652,0,0,0,0,3069,3069,0,0.0,no_current_camp_polygon,08402,True,2982,3410,133,0,,,,,,,,,,blocked_components
8312,Tucapel,Biobío,08412,True,7789,1383,6176,6142,15,18,32,6147,1642,78.91898831685711,0,0,0,0,1642,1642,0,0.0,no_current_camp_polygon,08412,True,5922,1867,1311,0,,,,,,,,,,blocked_components
8313,Yumbel,Biobío,08409,True,14108,5052,8890,8827,52,64,116,6290,7818,44.584632832435496,0,0,0,0,7818,7818,0,0.0,no_current_camp_polygon,08409,True,5898,8210,369,0,,,,,,,,,,blocked_components
8314,Alto Biobío,Biobío,08414,True,2775,691,2029,2006,164,108,261,255,2520,9.18918918918919,4,13,2,55,2507,2507,13,0.5158730158730159,partial_census_count,08414,True,241,2534,65,0,,,,,,,,,,blocked_components
9101,Temuco,La Araucanía,09201,True,128995,16172,110496,108912,760,422,1081,110572,18423,85.71805108725144,45,860,10,1523,17563,17563,860,4.668077946045703,partial_census_count,09201,True,106645,22350,514,0,,,,,,,,,,blocked_components
9102,Carahue,La Araucanía,09209,True,11653,2180,9090,9030,67,39,104,5114,6539,43.8856946709002,0,0,0,0,6539,6539,0,0.0,no_current_camp_polygon,09209,True,5061,6592,67,0,,,,,,,,,,blocked_components
9103,Cunco,La Araucanía,09204,True,10533,2604,7324,7281,109,21,129,5091,5442,48.33380803189974,0,0,0,0,5442,5442,0,0.0,no_current_camp_polygon,09204,True,4669,5864,97,0,,,,,,,,,,blocked_components
9104,Curarrehue,La Araucanía,09218,True,4431,1118,2906,2888,18,21,36,896,3535,20.221169036334913,2,10,1,27,3525,3525,10,0.2828854314002829,partial_census_count,09218,True,837,3594,10,0,,,,,,,,,,blocked_components
9105,Freire,La Araucanía,09203,True,12594,2215,9721,9637,61,90,147,3460,9134,27.473400031761155,1,0,1,24,9134,9134,0,0.0,partial_census_count,09203,True,3337,9257,43,0,,,,,,,,,,blocked_components
9106,Galvarino,La Araucanía,09207,True,5475,702,4515,4478,26,17,43,1646,3829,30.06392694063927,1,13,0,25,3816,3816,13,0.3395142334813267,complete_census_count,09207,True,1618,3857,20,0,,,,,,,,,,blocked_components
9107,Gorbea,La Araucanía,09212,True,6698,914,5583,5528,17,16,33,4201,2497,62.72021498954912,1,0,1,37,2497,2497,0,0.0,partial_census_count,09212,True,4097,2601,43,0,,,,,,,,,,blocked_components
9108,Lautaro,La Araucanía,09205,True,18213,2045,14817,14705,42,40,79,11948,6265,65.60149343875254,0,0,0,0,6265,6265,0,0.0,no_current_camp_polygon,09205,True,11375,6838,40,0,,,,,,,,,,blocked_components
9109,Loncoche,La Araucanía,09214,True,12370,2077,9568,9512,68,42,105,7087,5283,57.291835084882784,1,31,0,130,5252,5252,31,0.5867878099564642,complete_census_count,09214,True,6734,5636,48,0,,,,,,,,,,blocked_components
9110,Melipeuco,La Araucanía,09217,True,3606,820,2624,2609,23,10,33,1081,2525,29.97781475318913,0,0,0,0,2525,2525,0,0.0,no_current_camp_polygon,09217,True,1039,2567,48,0,,,,,,,,,,blocked_components
