estimate,weighted_denominator,se,ci_low,ci_high,n_psu,n_strata,design_df,ci_status,scope,territory_code,territory_name,unit,denominator_definition,weight,n_households,n_valid,n_missing,n_flagged,selection_note
0.01908444555319945,8017.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4203,Los Vilos,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,111,111,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.006224265057933544,10443.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4204,Salamanca,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,120,120,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.014516533351564458,43881.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4301,Ovalle,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,494,494,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,6069.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4302,Combarbalá,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,85,85,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.008947368421052631,11400.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4303,Monte Patria,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,153,153,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,4383.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4304,Punitaqui,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,82,82,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,1914.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,4305,Río Hurtado,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,40,40,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.09268113577023498,122560.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5101,Valparaíso,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,1329,1329,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0638162672476398,11016.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5102,Casablanca,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,107,107,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0967834577828834,17410.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5103,Concón,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,248,248,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
